s10r
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.33333   -680.87    811.55     75.01      5.84    -16.07      0.74    240.51    -14.13
neutron      1.33333   -340.78    423.33    118.98      0.47     17.34     53.76     77.17     11.22
sym          1.33333    340.09   -388.22     43.98     -5.37     33.40     53.02   -163.34     25.35
