s6q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.14000  -1069.44    999.54     75.01    194.23    -16.11     -0.15    225.11    -14.19
neutron      1.14000   -534.01    509.37    118.98    133.29     18.97     60.89     83.30     12.01
sym          1.14000    535.43   -490.17     43.98    -60.94     35.08     61.04   -141.82     26.20
