s10q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.33333   -679.02    803.94     75.01     13.63    -16.06      0.82    241.54    -14.13
neutron      1.33333   -324.92    325.55    118.98    123.90     17.20     56.50    101.40     10.92
sym          1.33333    354.10   -478.39     43.98    110.27     33.26     55.67   -140.14     25.06
