s3q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.16667  -1015.24   1010.20     75.01    108.74    -16.11     -0.64    215.48    -14.20
neutron      1.16667   -455.34    422.10    118.98    145.26     18.82     59.98     85.45     11.99
sym          1.16667    559.90   -588.10     43.98     36.52     34.94     60.63   -130.03     26.18
