s16r
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.30000   -705.86    769.94     75.01     78.45    -16.04      1.15    242.31    -14.15
neutron      1.30000   -364.40    450.18    118.98    -21.02     17.34     52.38     65.85     11.30
sym          1.30000    341.46   -319.75     43.98    -99.47     33.38     51.23   -176.46     25.45
