s7r
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.25000   -818.61    915.73     75.01      3.37    -16.05     -0.43    218.00    -14.13
neutron      1.25000   -385.57    424.57    118.98      5.04     16.58     47.36     53.08     11.06
sym          1.25000    433.04   -491.15     43.98      1.67     32.62     47.79   -164.92     25.19
