s11r
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.33333   -683.35    822.24     75.01     -5.28    -16.06      0.64    238.98    -14.12
neutron      1.33333   -337.97    412.94    118.98      3.62     17.03     52.24     75.05     11.08
sym          1.33333    345.38   -409.30     43.98      8.91     33.09     51.60   -163.93     25.21
