s18q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.16667  -1000.18    982.55     75.01    127.08    -16.10     -0.50    218.42    -14.18
neutron      1.16667   -472.89    449.80    118.98    120.12     18.10     57.06     79.31     11.58
sym          1.16667    527.29   -532.75     43.98     -6.96     34.19     57.56   -139.11     25.76
