s8r
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.35000   -662.97    806.89     75.01     -1.32    -16.05      0.99    244.25    -14.12
neutron      1.35000   -332.80    419.38    118.98     -2.46     17.04     52.91     78.96     11.03
sym          1.35000    330.17   -387.51     43.98     -1.14     33.09     51.91   -165.29     25.16
