s7z
4 parameter Skyrme
           gamma      a        b        c        d      E(0.16)     L      K       E(0.10)
matter   1.25000  -818.50   915.13    75.01     4.54   -16.04    -0.33   218.38   -14.13
neutron  1.25000  -289.56    51.03   118.98   462.00    15.69    59.44   162.25     9.50
sym      1.25000   528.94  -864.10    43.98   457.47    31.72    59.77   -56.13    23.63
