s12q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.33333   -679.56    806.66     75.01     10.88    -16.04      0.86    241.19    -14.12
neutron      1.33333   -322.30    313.99    118.98    123.86     16.61     53.73     97.37     10.65
sym          1.33333    357.26   -492.67     43.98    112.99     32.66     52.87   -143.82     24.77
