s17q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.16667   -978.14    941.26     75.01    155.97    -16.08     -0.15    223.52    -14.17
neutron      1.16667   -449.88    411.75    118.98    136.00     18.04     56.15     78.94     11.63
sym          1.16667    528.26   -529.52     43.98    -19.97     34.12     56.30   -144.58     25.80
