s7q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.25000   -817.98    912.86     75.01      7.57    -16.04     -0.23    219.16    -14.14
neutron      1.25000   -359.61    327.65    118.98    122.51     16.46     50.74     80.89     10.74
sym          1.25000    458.36   -585.20     43.98    114.94     32.50     50.97   -138.27     24.88
