s8q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.35000   -662.89    806.20     75.01     -0.18    -16.04      1.06    244.54    -14.12
neutron      1.35000   -316.98    315.35    118.98    123.24     16.73     54.64    100.96     10.68
sym          1.35000    345.92   -490.84     43.98    123.41     32.77     53.58   -143.58     24.80
