s15h
4 parameter Skyrme
           gamma      a        b        c        d      E(0.16)     L      K       E(0.10)
matter   1.16667  -953.59   894.35    75.01   189.13   -16.12     0.10   229.48   -14.19
neutron  1.16667  -515.39   523.67   118.98   105.28    19.30    63.64    87.55    12.04
sym      1.16667   438.21  -370.68    43.98   -83.85    35.42    63.54  -141.94    26.23
