s12r
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.33333   -681.05    814.12     75.01      2.05    -16.05      0.65    239.62    -14.11
neutron      1.33333   -337.35    408.41    118.98      3.27     16.72     50.88     73.31     10.93
sym          1.33333    343.70   -405.71     43.98      1.22     32.77     50.23   -166.31     25.04
