s16q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.30000   -713.73    799.81     75.01     46.91    -16.03      0.69    237.12    -14.12
neutron      1.30000   -334.75    313.25    118.98    123.32     16.25     51.33     89.54     10.52
sym          1.30000    378.98   -486.56     43.98     76.41     32.28     50.64   -147.58     24.63
