s15q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.16667   -957.73    902.45     75.01    183.26    -16.10      0.07    228.39    -14.18
neutron      1.16667   -467.33    446.50    118.98    123.39     18.75     59.14     80.17     11.98
sym          1.16667    490.40   -455.95     43.98    -59.87     34.85     59.07   -148.22     26.16
