s9q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.14000  -1137.12   1114.55     75.01    122.68    -16.07     -0.81    211.82    -14.17
neutron      1.14000   -504.94    463.02    118.98    127.68     17.62     53.90     72.41     11.43
sym          1.14000    632.18   -651.53     43.98      5.00     33.69     54.71   -139.42     25.60
