s11q
4 parameter Skyrme
               gamma         a         b         c         d   E(0.16)         L         K   E(0.10)
matter       1.33333   -677.95    800.15     75.01     16.80    -16.07      0.77    241.72    -14.13
neutron      1.33333   -330.94    338.12    118.98    125.00     17.38     58.24    106.29     10.93
sym          1.33333    347.02   -462.03     43.98    108.19     33.45     57.47   -135.43     25.06
